"","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","stateProvince","habitat","cl10902","scientificName","basisOfRecord","kingdom","phylum","class","order","family","taxonRank","dataResourceName"
"681",-35.528302,148.778585,5,"Australian Capital Territory","Dead on road","Eucalypt Medium Open","Tiliqua nigrolutea","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"682",-35.528302,148.778585,5,"Australian Capital Territory","On log","Eucalypt Medium Open","Pseudemoia entrecasteauxii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"683",-35.528302,148.778585,5,"Australian Capital Territory","On log","Eucalypt Medium Open","Pseudemoia entrecasteauxii","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"684",-35.528302,148.778585,5,"Australian Capital Territory","Dead on road","Eucalypt Medium Open","Tiliqua nigrolutea","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"685",-35.528302,148.778585,5,"Australian Capital Territory","On log","Eucalypt Medium Open","Pseudemoia entrecasteauxii","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"686",-35.528302,148.778585,5,"Australian Capital Territory","On log","Eucalypt Medium Open","Pseudemoia entrecasteauxii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"687",-35.5283000344902,149.076,200,"Australian Capital Territory","","Eucalypt Medium Woodland","Pseudonaja textilis","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Elapidae","species","ACT Wildlife Atlas"
"688",-35.5283000344902,149.078,200,"Australian Capital Territory","","Non Forest","Chelodina (Chelodina) longicollis","UNKNOWN","Animalia","Chordata","Reptilia","Testudines","Chelidae","species","ACT Wildlife Atlas"
"689",-35.52823,148.90187,5,"Australian Capital Territory","on log","Eucalypt Medium Woodland","Pseudemoia spenceri","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"690",-35.52823,148.90187,5,"Australian Capital Territory","on path/rocky ground","Eucalypt Medium Woodland","Rankinia diemensis","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Agamidae","species","Australian National Wildlife Collection provider for OZCAM"
"691",-35.52823,148.90187,5,"Australian Capital Territory","on log","Eucalypt Medium Woodland","Pseudemoia spenceri","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"692",-35.52823,148.90187,5,"Australian Capital Territory","on path/rocky ground","Eucalypt Medium Woodland","Rankinia diemensis","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Agamidae","species","Australian National Wildlife Collection provider for OZCAM"
"693",-35.52810003449,149.074,50,"Australian Capital Territory","","Non Forest","Chelodina (Chelodina) longicollis","UNKNOWN","Animalia","Chordata","Reptilia","Testudines","Chelidae","species","ACT Wildlife Atlas"
"694",-35.5278000344896,149.052,500,"Australian Capital Territory","","Eucalypt Medium Woodland","Ctenotus robustus","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"695",-35.5278000344896,149.052,500,"Australian Capital Territory","","Eucalypt Medium Woodland","Egernia saxatilis","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"696",-35.5278000344896,149.052,500,"Australian Capital Territory","","Eucalypt Medium Woodland","Diporiphora nobbi","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Agamidae","species","ACT Wildlife Atlas"
"697",-35.5278000344896,149.052,500,"Australian Capital Territory","","Eucalypt Medium Woodland","Ctenotus taeniolatus","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"698",-35.5278000344896,149.052,500,"Australian Capital Territory","","Eucalypt Medium Woodland","Morethia boulengeri","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
